Words	raw	percent	mean_valence	sd_valence	mean_degree	sd_degree	comment_1	comment_2	comment_3	comment_4	comment_5	comment_6	comment_7	comment_8	comment_9	comment_10	comment_11	comment_12	comment_13	comment_14	comment_15	comment_16	comment_17	comment_18	comment_19	comment_20	comment_21	comment_22
Ersetzt Menschen	4	0.88	-2.5	0.577350269189626	2	0																						
ersetzt menschliche Betreuung	2	0.44	0	0	2	0																						
Ersetzt möglicherweise Personal	1	0.22	-3	NA	1	NA																						
Erstellung von Karten	2	0.44	0	0	2	0																						
Erstversorgung von Menschen	2	0.44	3	0	1	0	Rettungsroboter können die Erstversorgung bei Katastrophen unterstützen.																					
Erwachsene	2	0.44	0	0	1	0																						
Erwartung an KI	2	0.44	-2	0	1	0																						
Erwartungen von Menschen	2	0.44	-1	0	1	0	mehr Erwarten																					
Erwartungsänderung an Menschen	2	0.44	-2	0	1	0																						
erweitert ökonomistische Herangehensweis	2	0.44	-3	0	2	0	gemeint ist komplette Ausrichtung auf Gewinnmaximierung																					
Erweiterte Physische Möglichkeiten	2	0.44	3	0	1	0	"Beispiel Drohnen: Können im Vergleich zum Menschen fliegen
"																					
erweiterungsfähig	2	0.44	0	0	2	0																						
Essen und Trinken	2	0.44	0	0	1	0																						
Essenszubereitung	2	0.44	1	0	1	0	Könnte auf wissenschaftliche Standards achten, was eine gesunde Ernährung angeht																					
Ethik und Moral	4	0.88	-2.5	0.577350269189626	1.5	0.577350269189626																						
Ethik/Moral	17	3.74	-1.1764705882352942	1.55061657565817	1.8235294117647058	0.88284300116492	Roboter treffen für sie logische Entscheidungen auch wenn diese möglicherweise ethisch und moralisch falsch sind	Fragen der Ethik und des Datenschutzes im Zusammenhang mit Roboternuttzung																				
Ethikbedenken	2	0.44	-2	0	1	0																						
Ethikfragen	2	0.44	-2	0	2	0																						
Ethikherausforderungen	2	0.44	-3	0	1	0	Nicht fähig, komplexe ethische Entscheidungen wie Menschen zu treffen.																					
Ethisch Fraghaft	2	0.44	-2	0	1	0	"Es ist ethisch fragwürdig ob wir alte Menschen und Menschen mit Pflegebedarf an Roboter ""abschieben"" sollten"																					
Ethische Bedenken	6	1.32	-0.3333333333333333	1.86189867250253	2	0.894427190999916																						
ethische Bedenken (AI)	1	0.22	0	NA	2	NA																						
Ethische Dilemma	1	0.22	-2	NA	1	NA	kann als böse Technologie verwendet werden																					
Ethische Fragen	6	1.32	-0.6666666666666666	0.516397779494322	1.6666666666666667	1.03279555898864	Moralisch gut zu verwantworten, ältere Menschen durch Roboter zu betreuen und nicht durch Menschen?																					
Ethische Probleme	2	0.44	-2	0	2	0																						
Ethische Schwierigkeiten	2	0.44	-1	0	2	0	Darf ein Roboter eine Tötungsentscheidung fällen?																					
Ethische Standard	2	0.44	0	0	2	0																						
ethische Vertretbarkeit?	2	0.44	-2	0	3.5	0.707106781186548																						
ethische Vorbehalte	2	0.44	-2	0	1	0																						
Ethisches Verhalten ungeklärt	2	0.44	1	0	1	0	Stichwort: Trolley-Problem																					
Etnische Überlegungen	2	0.44	-2	0	2	0																						
Evakuierung zu komplex?	2	0.44	-2	0	1	0																						
evtl diskriminierend	1	0.22	-3	NA	1	NA																						
evtl teuer	2	0.44	-1	0	1	0																						
evtl. mal Billiger	2	0.44	2	0	1	0	Billiger als Arbeitskräfte und damit zugänglicher für ärmere Leute																					
Explosionsgefahr?	2	0.44	-3	0	2	0																						
explosiv	2	0.44	-2	0	1.5	0.707106781186548	Komponenten wie die Batterie, oder andere technische Bauteile könnten in der gefährlichen Umgebung (Hitze/Trümmer) explodieren und das Opfer einer noch größerer Gefahr aussetzen.	Softe Roboter sind durch ihre Bauweise sicherer im navigieren  schwieriger Terrains																				
extinkte Tiere	1	0.22	3	NA	2	NA	softe Roboter können extinkte Tiere nachahmen																					
Extra Wartungskosten	2	0.44	-1	0	1	0																						
extrem flexible Anpassung	1	0.22	2	NA	3	NA																						
f	1	0.22	0	NA	1	NA																						
Fachkräftemangel	4	0.88	2	0	2	0	Roboter können die Lücke im aktuellen Gesundheitssektor in Teilen decken	Arbeitnehmermangel entgegenwirken																				
Fachkräftemangel mildern	2	0.44	2	0	1	0																						
Factenbassierte Entscheidung	2	0.44	2	0	1	0																						
Fähigkeiten	4	0.88	1	1.15470053837925	1.5	0.577350269189626	Spezielle Roboter sind in speziellen Situation effektiver als menschliche Personen.	unbekannt, veränderlich																				
Fake-Interaktion	2	0.44	-3	0	1.5	0.707106781186548	es ist eine Gemeinheit Menschen eine menschliche Interaktion vorzugaukeln, die vielleicht selbst nicht mehr alles korrekt wahrnehmen zu können																					
faktenbasiert	2	0.44	3	0	2	0	Assistenzroboter gehen Schematisch nach Fakten vor und können sich frei von Emotionen auf Wissenschaftliche Daten berufen.	Wissenschaftliche Ausarbeitung und programmierung der Verhalten kann eine gewünschte Reaktion erzielen. Wissenschaft hat viele Daten Parat, die eine breite Gruppe treffen kann.																				
Faktor Zeit	2	0.44	3	0	3	0	Ein Roboter, der einen einzigen Menschen begleitet, hat quasi endlose Ressourcen für diesen Menschen																					
Falschbewertung der Lage	2	0.44	-1	0	1	0																						
Falsche Beurteilung	2	0.44	-1	0	1	0																						
Falsche Bevorzugung	2	0.44	-1	0	2	0																						
falsche entscheidung treffen	1	0.22	-3	NA	1	NA																						
Falsche Entscheidungen	4	0.88	-2	1.15470053837925	1	0	Rettungsroboter könnten dank der Algorithmen katastrophale Entscheidungen treffen, die mehr Menschen gefährden könnten.																					
falsche Erwartungshaltung	2	0.44	-1	0	1	0	Ein Roboter kann einen Menschen halt nicht in jeder Hinsicht ersetzen, sondern nur auf eine oder mehrere vorprogrammierte Aufgaben hin																					
Falsche Hoffnung	1	0.22	-1	NA	1	NA	Roboter könnten Opfer falsche Hoffnung geben, wenn sie zum Beispiel eine Aufgabe nicht bewältigen können, die für den Opfern überlebenswichitig ist																					
falsche Info	2	0.44	-2	0	1	0																						
Falsche Interaktionen	2	0.44	-2	0	2	0	Wenn die Person fast nur mit Robotern interagiert, könnte die Person sich daran gewöhnen und Probleme mit Menschen haben.																					
Fast wie Haustier	1	0.22	2	NA	1	NA																						
fehl funktionen	2	0.44	-1	0	3	0																						
Fehlanwendung möglich	2	0.44	-2	0	1	0	zum Aufspüren von Feinden																					
Fehlbedingen kann schaden	2	0.44	-1	0	1	0																						
Fehldiagnose	2	0.44	-1	0	1	0	Verhalten, idee																					
Fehleinschätzungen	4	0.88	-2	1.15470053837925	1.5	0.577350269189626	Situationen falsch einschätzen																					
fehlende akzeptanz	2	0.44	0	0	1	0	Manche Menschen möchten nicht durch Roboter gerettet werden																					
Fehlende Autonomie	2	0.44	-3	0	1	0																						
fehlende echte Kommunikation	2	0.44	-3	0	1	0	Verändert negativ das Kommunikationsverhalten, wenn keine direkte und echte Mensch-zu-Mensch-Interaktion vorhanden ist																					
fehlende Einfühlsamkeit?	2	0.44	-1	0	1	0																						
fehlende emotionale Unterstützung	2	0.44	-3	0	1	0	Manchmal müssen Personen in ihrer misslichen Lage ausharren, sollten sie eingeklemmt sein. Hier kann ein menschlicher Retter emotional unterstützen																					
fehlende Emotionalität	2	0.44	2	0	1	0	menschliche Retter könnten schockiert sein, tragen Traumata davon, all das kann ein Roboter ab.																					
fehlende Empathie/Empathielos	18	3.96	-1.8888888888888888	0.758395278659361	1.2777777777777777	0.669113158068688	Wir der Robbi ausreichend auf Emotionen eingehen können, bzw. darauf reagieren und seine Handlungen entsprechend steuern?	Beispielsweise in der Therapie kann es sehr wichtig sein die Gefühle von Patienten zu erkennen.	Die Roboter können keine Empathie fühlen bzw. ausdrücken, nur künstliche Empathie, die oft durchschaut wird	Roboter haben 0 Empathie und Sympathie mit Verletzten.																		
Fehlende Information	1	0.22	-2	NA	1	NA																						
Fehlende Interaktion	2	0.44	-1	0	1	0	im Vergleich zu menschlichen Rettern																					
Fehlende Kompetenz	2	0.44	-2.5	0.707106781186548	1.5	0.707106781186548																						
fehlende Menschennähe	2	0.44	-3	0	1	0	"Sagen wir falls Opfer von Erdbeben größtenteils nur durch Rettungsroboter versorgt werden, könnte dies ""kalt"" auf die betroffenen Menschen rüberkommen - vielleicht auch so, als wären sie direkte menschliche Hilfe oder das Risiko nicht wert."																					
fehlende menschliche Interaktion	2	0.44	-3	0	4.5	2.12132034355964																						
fehlende menschliche Wärme	2	0.44	-2	0	1	0	das Gefühl mit einem echten Menschen zu interagieren ist wichtig																					
fehlende Menschlichkeit	8	1.76	-1.25	0.462910049886276	2.625	1.50594061730772	fehlende menschliche Interaktionen und Empathie können nicht ersetzt werden	ein Roboter gibt nicht die Nähe und Menschlichkeit wie es ein Mensch tut	Der zu Rettende hat ggf angst vor Robotern																			
fehlende Verantwortlichkeit	2	0.44	-1	0	1	0	bei autonomen Robotern																					
fehlender Anreiz Jobgestaltung	2	0.44	-2	0	1	0	der Pflegeberuf muss weniger attraktiv gestataltet werden, wenn man Roboter arbeiten lassen kann																					
Fehlender Informationsfluss	2	0.44	-2	0	1	0	Besonders beim Bergen von Opfern können Roboter den Opfern möglicherweise wichtige oder beruhigende Informationen nicht zukommen lassen																					
Fehlender Kontakt	2	0.44	-3	0	1	0																						
Fehlender Menschenkontakt	1	0.22	-2	NA	1	NA	Der fehlende soziale Kontakt kann Menschen schaden																					
Fehlender menschlicher Kontakt	4	0.88	-2	0	1.5	0.577350269189626	Ist ein hoher Kostendruck vorhanden Könnten vermehrt Assistenten eingesetzt sein, es findet kaum noch menschlicher Kontakt statt	Fehlender menschlicher Kontakt wenn dadurch z.B. echte Therapeuten ersetzt werden																				
fehlender zwischenmenschlicher Kontakt	2	0.44	-3	0	1	0																						
fehlendes Einfühlungsvermögen	2	0.44	-2	0	1	0	Opfer könnten unsachgemäß behandelt werden																					
fehlendes Feedback	1	0.22	0	NA	2	NA	Kommunikation ist lediglich auf einer sehr einfachen Ebene möglich. Kann bei scheuen Menschen positiv sein, da überfordernd. Kann aber auch das fehlende etwas sein, um dem Menschen ein gewisses Maß an Feedback und Hilfe sozialer Integration zu geben.																					
fehlendes Feingefühl	4	0.88	-2	0	2	1.15470053837925	"Könnten Situation aufgrund von rabiaten Bewegungen verschlimmern (einstürzen z.b.)
"																					
fehlendes menschliches Urteilsvermögen	2	0.44	-3	0	2	0																						
Fehlendes Sicherheitsnetz	2	0.44	-2	0	1	0																						
Fehler	57	12.56	-1.280701754385965	1.56700790823185	1.631578947368421	0.918686541975017	Die Entwicklung, Produktion und Instandhaltung von Robotern könnte sehr kostspielig sein und das Geld besser eingesetzt werden um den Menschen zu helfen.	Das alles könnte sehr teuer ausfallen, bleibt die Frage, ob man sich das auch leisten können.	"
"	Was passiert falls ein Roboter defekt ist? Sind die Patienten dann hilflos=	Wer wird sich diese Art Therapie oder Unterstützung überhaupt leisten können?	Wahrscheinlich zunächst teurer als menschliche Arbeitskräfte	Die Algorithmen können Fehler enthalten, wodurch Fehlren bei Rettungen passieren können	Eine derart komplexe Maschine ist schwierig und teuer herzustellen und zu entwickeln.	Rettungsroboter sind teuer in Entwicklung, Bau und Unterhalt	als menschliche Retter, Roboter arbeiten nicht im Ehrenamt	Für mögliche Fehler kann man niemanden verantwortlich machen	Teuer in der Herstellung	Im zivilen Raum vielleicht auch nicht überall umsetzbar wegen Material- und Personalkosten	Sind dann nur reichen und mächtigen vorbehalten	durch Leiter oder SW							
Fehler bei Autonomie	2	0.44	-3	0	1	0	Autonom arbeitende Roboter können Fehler machen weil sie komplizierte Zusammenhänge schlechter beurteilen																					
Fehler Entwicklung	2	0.44	-3	0	2	0	Es kann natürlich auch zu fehlern bei der Software kommen, so dass der Roboter nicht die lebenden Menschen zu erst erkennt und sich erst auf die Toten stürzt. 																					
Fehler im Konzept	2	0.44	-2	0	1	0																						
Fehleranfällig 	8	1.76	-1.25	1.16496474502144	1.25	0.462910049886276	"Künstliche Helfer machen weniger Flüchtigkeitsfehler als Menschen, ""verstehen"" aber möglicherweise krasse Fehler nicht."																					
Fehleranfällig (Bugs)	2	0.44	-2	0	1	0																						
fehlererhaltend	2	0.44	-2	0	1	0	Buggy algorithmus kann Menschen bedrohen																					
Fehlererkennung	2	0.44	3	0	1	0																						
Fehlerhafte Algorithmen	1	0.22	-3	NA	2	NA	Fehler in SW nicht unwahrscheinlich																					
Fehlerhafte Analysen	2	0.44	-2	0	1	0	Vollständig autonome Roboter müssten Erkennungssoftware nutzen, die möglicherweise Fehler begeht, die Menschen nicht passieren würden																					
Fehlerhafte Programmierung	2	0.44	-2	0	2	0	Software weist häufig Fehler auf, die erst in der Praxis auffallen.																					
Fehlerquote	2	0.44	-3	0	1	0	"roboter sind nicht im stande eigene fehler zu erkennen, sie müssen erst darauf traniert werden was ""fehler"" überhaupt sind."																					
Fehlerreduktion	2	0.44	1	0	1	0																						
Fehlerrisiko	2	0.44	0	0	1	0	Unklar ob der Roboter momentan fähig ist besser als ein Mensch zu reagieren																					
Fehlfunktion	17	3.74	-2.5294117647058822	0.514495755427527	1.4705882352941178	0.717430053979439	Durch einen technischen Defekt, besteht die Gefahr, dass die Maschine das Opfer schadet. Z.B. da Greifarme zu fest zu packen und das Opfer erwürgen, oder Räumungsbohrer das Opfer ermorden.	Technische Fehler können Menschenleben kosten	kann eine Fehlfunktion haben																			
Fehlfunktionen	2	0.44	2	0	2	0	Fehlfunktionen durch externe Faktoren (wetter, untergrund g																					
Fehlfunktionen & Störungen	2	0.44	-3	0	1	0	Personen können in Schwierigkeiten geraten wenn der Roboter nicht funktioniert in gefährlichen Situationen																					
Fehlfunktionen Roboter	2	0.44	-3	0	1	0	wenn der Roboter durch z.B einen Bug eine Fehlfunktion erleidet sind die Leute auf sich alleine gestellt																					
Feingefühl	2	0.44	-3	0	1	0	roboter können keinen menschlichen emotionen und bedürfnisse erkennen																					
Feinmotorik	2	0.44	2	0	1	0																						
Felxibilität	17	3.74	1.5294117647058822	1.50489397711365	1.8235294117647058	0.88284300116492	Je nach Programmierung kann ein Roboter möglicherweise nicht alle Fälle flexibel reagieren. Durch Machine Learning sollte das aber mit der Zeit möglich sein	Roboter können flexibel abgerufen und eingesetzt werden	Durch verschiedene Größen, Einsatzzwecke und Erscheinungsbilder, können (softe) Rettungsroboter vielseitig eingesetzt werden.	kann sowohl gut als auch schlecht sein, da die Flexibilität in falscher Situation verwendet werden kann	kann Funktion beeinträchtigen																	
ferngesteuert	7	1.54	1.8571428571428572	1.4638501094228	2.142857142857143	1.3451854182691	Durch fernsteuerung können menschen bei der Suche einbezogen werden und die Suche so verbessert werden	auch die Menschen über die unerwarteten Situationen Gedanken machen																				
Ferngesteuerte Bergung	2	0.44	1	0	1	0																						
Ferngesteuertes Handeln	2	0.44	0	0	6.5	0.707106781186548	Wenn nicht auf KI gesetzt wird, könnten die Roboter ferngesteuert werden. Dies kann negative und positive Auswirkungen haben																					
Fernsteuerung	15	3.3	1.2	1.08232553856433	1.6666666666666667	1.17513930278601	Kann von Experten über Fernsteuerung oder autonom gesteuerte Systeme bedient werden, um Operationen asus sicherer Entfernung durchzuführen.	Minimiert Risiken, die mit der Autonomie einhergehen	Rettungsroboter können aus der Ferne gesteuert werden																			
Fernsteuerung > Autonomie	2	0.44	0	0	2	0																						
Fernsteuerung möglich	2	0.44	3	0	1	0																						
Festellung Probleme	2	0.44	2	0	2	0	schnellere Feststellung durch KI																					
Feuerbekämpfung	2	0.44	2	0	1	0																						
Feuerwehr Unterstützung	2	0.44	3	0	2	0																						
Finanzierung	2	0.44	-1	0	1	0	Gelder müssen für die Finanzierung gefunden werden																					
Finanzierung & Preis	2	0.44	-2	0	1	0	ENtwicklung, aber vor Allem Produktion																					
Finanzierungsmodelle	2	0.44	1	0	1	0																						
flexibel	8	1.76	2.375	0.916125381312904	1.25	0.462910049886276	Der Roboter könnte in gefährliche Gebiete agieren und ist damit nicht beschränkt.	Sie können eine beliebige Form haben, um in kleinere Räume yu gelangen																				
Flexibilität / Intuition	2	0.44	-3	0	2	0																						
Flexible Designs/Formen	1	0.22	2	NA	1	NA	Aufgrund des flexiblen Designs eines Roboters kann man diesen an verschiedene Situationen anpassen je nachdem was benötigt wird																					
flexible weiche  Teile	1	0.22	-2	NA	1	NA	diese Teile können schneller beschädigt werden																					
Flexible weiche Strukturen	1	0.22	-1	NA	2	NA																						
flexibler als Mensch	3	0.66	1.6666666666666667	1.15470053837925	1.3333333333333333	0.577350269189626	Menschen können an manchen Gebieten nicht ran kommen oder können nicht sehen, ob die Menschen noch leben. z.B. bei einem Erdbeben vorfall unter den Trümmern.																					
Folgen Anweisungen	2	0.44	2	0	1	0	Roboter können Anweisungen ausführen und empfinden dabei kein Ekel oder ähnliches																					
folgt anweisungen präzise	2	0.44	2	0	1	0																						
Förderung Arbeitslosigkeit/Stellenabbau	2	0.44	-1	0	1	0																						
Förderung der Interaktionen	4	0.88	1.5	0.577350269189626	2.5	1	Zur Verbesserung der Kommunikationsfähigkeiten																					
förderung sozialer Interaktion	4	0.88	2	1.15470053837925	2	1.15470053837925																						
Förderung sozialer Interaktionen	2	0.44	2	0	2	0																						
Forschung	2	0.44	2	0	2	0	Die Entwicklung dieser Roboter könnte Forschung für andere Roboter in ähnlichen Bereichen antreiben.																					
Fortschritt besser überwachen	2	0.44	1	0	1	0	damit man due psychische Störung besser untersuchen kann																					
Freiheit und Unabhängigkeit	2	0.44	3	0	3	0	Menschen, die früher auf Pflege eines Menschen angewiesen waren, könnten sich wieder selbstbestimmter fühlen, weil sie sich von einem Roboter helfen oder unterstützen lassen																					
Fremdartigkeit	2	0.44	-2	0	1	0																						
Fremdnutzung	1	0.22	-3	NA	2	NA	Man könnte die Roboter auch umprogrammieren das sie Menschen attackieren und sie als sprengroboter nutzen																					
freundliches Aussehen Auftreten	1	0.22	3	NA	3	NA																						
Freundschaft	1	0.22	2	NA	1	NA																						
Früherkennungs und Diagnose	2	0.44	3	0	2	0	Krankheit...																					
Funktionen von Robotern	2	0.44	1	0	3	0																						
funktioniert in japan	2	0.44	3	0	2	0																						
Funktionsfehler	2	0.44	-2	0	1	0																						
für alte Menschen	2	0.44	3	0	2	0																						
für autistische Menschen	2	0.44	2	0	2	0																						
für Gefahr	2	0.44	3	0	1	0	kann in Zeiten der Gefahr anstelle von Menschen eingesetzt werden																					
für Kinder	2	0.44	2	0	2.5	0.707106781186548																						
Für Notleidende	1	0.22	1	NA	1	NA																						
Für Rettungskräfte	1	0.22	1	NA	1	NA																						
für sozial Isolierte	2	0.44	2	0	1	0																						
Garantiert behandelt	2	0.44	2	0	2	0	Durch soziale Assistenzroboter kann garantiert werden, dass Menschen welche Hilfe brauchen, tatsächlich Hilfe bekommen und nicht lange warten müssen. 																					
Gebietserschließung	2	0.44	3	0	3.5	0.707106781186548																						
gebrochen	1	0.22	-3	NA	1	NA																						
Geburtenrate sinkt	2	0.44	-1	0	2	0																						
Gedächtnistraining	2	0.44	1	0	2	0	Hilfreich im Leben																					
Gedankenprozess nicht nachvollziehbar	2	0.44	-1	0	1	0																						
Geduld	2	0.44	3	0	1	0	z.B. im Umgang mit dementen Personen (repetitive Handlungen werden unbegrenzt toleriert ohne die Geduld zu verlieren)																					
Geduld und Ausdauer	2	0.44	2	0	3	0	Überforderte Pflege- und ungeeignete Therapiearbeiter schaden manchmal Hilfebedürftigen mehr als sie ihnen helfen. In diesen Fällen wäre ein Assistenzroboter vielleicht vorzuziehen.																					
Gefahr (Waffe/Attacken)	11	2.42	-1.3636363636363635	2.24823162831267	1.9090909090909092	0.831209414593634	Ein fehlfunktionierender Roboter kann Menschen ernsthaft in Gefahr bringen. Softwareprobleme sind auch in sicherheitsrelevanten Umgebungen nie auszuschließen.	weniger menschliche Gefahr	Ähnlich wie zuvor aufgeführt. Es kann zu Zwischenmenschlicher Abstumpfung kommen.																			
Gefahr beim Krieg	2	0.44	-3	0	2	0																						
Gefahr der Abhängigkeit	1	0.22	-1	NA	1	NA																						
Gefahr der Diskriminierung	2	0.44	-2	0	1	0	z.B. bei voreingenommenen Algorithmen																					
Gefahr der Manipulation	2	0.44	-1	1.4142135623731	1	0																						
Gefahr des Missbrauchs	1	0.22	-1	NA	1	NA	bei z.B. technischem Defekt oder Hack																					
Gefahr des Steckenbleibens	1	0.22	-2	NA	1	NA																						
Gefahr für Menschen	2	0.44	-2	0	1	0	Gefahr durch nicht Erkennung von Menschen 																					
Gefahr Verschlechterung SoC	2	0.44	0	0	1	0	Allgemein würde ich von einer Verschlechterung des Standard of Care ausgehen, sollten Roboter flächendeckend im Gesundheitssektor eingesetzt werden. Das gilt aber für alle anderen Innovationen in dem Bereich ebenfalls.																					
Gefahr von Missbrauch	2	0.44	-2	0	1	0																						
Gefahr von Pannen	2	0.44	-1	0	1	0																						
Gefahr von Verletzung	1	0.22	-2	NA	1	NA																						
Gefährdung	2	0.44	1	0	3	0	Es werden keine Menschen gefährdet beim Einsatz																					
Gefährdung von Menschenleben	2	0.44	-3	0	2	0																						
Gefahrensituationen erkennen	2	0.44	2	0	1	0																						
Gefährlich	1	0.22	-3	NA	3	NA	Ist der Roboter Mobil? Möglicherweise Unfall Gefahr																					
gefährliche Bereiche	4	0.88	2	1.15470053837925	1	0																						
gefährliche Bereiche abdecken	2	0.44	3	0	1	0	"selbst da wo es für Menschen gefährlich ist, kann ein Roboter hin
"																					
Gefährliche Gebiete entdecken	2	0.44	3	0	1	0																						
Gefährliche Situation eindringen	2	0.44	2	0	1.5	0.707106781186548																						
gefährliche Umgebung	1	0.22	-2	NA	1	NA																						
Gefühle	2	0.44	-3	0	2	0																						
Gefühlslos	2	0.44	-2	0	1	0																						
gegen Fachkräftemangel wirksam	1	0.22	3	NA	1	NA	"nehmen die gefährliche Arbeit ab
"																					
gegen Personalmangel	2	0.44	2	0	1	0																						
"gehen schnell ""kaputt"""	2	0.44	-3	0	1.5	0.707106781186548																						
Gehirn	2	0.44	0	0	2	0																						
Geistig anregend	1	0.22	2	NA	3	NA	Kann u.a. neuro-degenerative Krankheiten abschwächen.																					
Geld f. Anderes	2	0.44	1	0	1	0	Geld kann für andere Zwecke eingesetzt werden																					
Genaue Handhabung	2	0.44	1	0	1	0																						
Genauigkeit	7	1.54	0.7142857142857143	2.9277002188456	1.1428571428571428	0.377964473009227	Nicht so genau wie Menschen	"Genauigkeit möglicherweise eingeschränkt
"																				
Genauigkeit der Arbeit	2	0.44	2	0	2	0																						
Genauigkeit der Ausführung	2	0.44	3	0	2	0																						
Genauigkeit der Rettungsroboter	2	0.44	2	0	2	0	so können die menschliche Fehlern vermindern werden																					
Genauiigkeitsanforderung	1	0.22	-2	NA	2	NA																						
Genügsamkeit	2	0.44	2	0	1	0	Roboter benötigen in Krisenregionen weniger Ressourcen als menschliche Rettungskräfte																					
Geolokalisierung	2	0.44	3	0	1	0																						
Geräte Transportieren	2	0.44	1	0	2	0																						
Geräuscharm	1	0.22	1	NA	1	NA																						
Gerechtigkeit bei Leistbarkeit	2	0.44	0	0	3	0	Haben wir eine Ungerechtigkeit hinsichtlich, wer erhält Zugang																					
Geringe Akzeptanz	2	0.44	-2	0	2	0																						
geringe Verletzungsmöglichkeit	1	0.22	3	NA	2	NA																						
geringer Wartezeiten	2	0.44	1	0	1	0	z.B. für eine Therapie																					
geringere Hemmschwelle	1	0.22	3	NA	2	NA																						
Geringere menschliche Interaktion	2	0.44	-2	0	3	0	Der Mensch ist ein soziales Lebewesen und braucht zwischenmenschliche Beziehungen																					
Geringere Präzision	2	0.44	-1.5	0.707106781186548	1	0	Aufgrund der Verwendung von Weichteilen																					
geringere Verletzungsgefahr	3	0.66	2.6666666666666665	0.577350269189626	1	0	Für Opfer	Im Vergleich zu Hartplastik/Metall																				
Geringerer Krankenstand	2	0.44	2	0	1	0																						
Geringeres Risiko Mensch	2	0.44	3	0	1	0																						
geringeres Verlettzungsrisiko 	13	2.86	1.7692307692307692	0.832050294337844	1.5384615384615385	0.776250025806185	duch softe Roboter	aufgrund ihrer Weichheit	Bei soften Robotern	Geringeres Verletzungsrisiko durch Anpassungsfähigkeit des Roboters	bei soften Robotern																	
Geringes Verletztungsrisiko	3	0.66	2	1	1.6666666666666667	0.577350269189626	Dadurch das ein Softer Roboter nicht aus Metall, sondern eher weich ist, ist das Risiko geringer.	Helfende Hand																				
Geschicklichkeit	2	0.44	2	0	2	0	Oftmals höhere Geschicklichkeit als menschliche Retter																					
Geschlossene Systeme	2	0.44	-2	0	2	0	"Wenn die Entwicklung von einzelnen Firmen betrieben wird und die Systeme ""closed source"" sind, könnte sie eventuell Macht über den Bereich erlangen (vor allem von der Softwareseite aus). Dadurch leidet eventuell auch die Transparenz des Verhaltens der Robotersysteme."																					
geschultes Personal	2	0.44	-1	0	1	0	Personal die mit der Technologie und Software dahinter umgehen kann wird intern benötigt oder es müssen externe Firmen die Support bieten bezahlt werden.	Es wird Personal benötigt oder entstehen Supportkosten bei Problemen mit den Robotern																				
Geschwindigkeit	2	0.44	2	0	2	0	der Roboter kann vermutlich schneller retten als ein Mensch																					
Geschwindigkeit und Effizienz	2	0.44	1	0	1	0	Roboter können oft schneller agieren als Menschen und die geschwindigkeit von Notfallinterventionen erhöhen																					
Gesellschafliche Integration	3	0.66	1.6666666666666667	0.577350269189626	1	0	wird dadurch nicht gefährdet 																					
Gesellschaft	2	0.44	1	0	1	0																						
Gesellschaft für Einsame	2	0.44	1	0	1	0																						
Gesellschaftliche Ablehnung	2	0.44	-1	0	2	0	insbesondere bei älteren Menschen																					
gesellschaftliche Integration gefährdet?	1	0.22	-2	NA	2	NA																						
Gesellschaftliche Unbeholfenheit	2	0.44	-3	0	3	0																						
Gesellschaftliche Wandlung	2	0.44	0	0	4.5	0.707106781186548																						
Gesetzliche Regelungen	2	0.44	0	0	1	0																						
Gesichtserkennung / Emotionserkennung	2	0.44	1	0	1.5	0.707106781186548																						
Gesprächspartner für einsame	2	0.44	1	1.4142135623731	2	0																						
Gesundheit	2	0.44	2	0	1	0	Verbesserte Diagnosen																					
Gesundheits-Monitoring	2	0.44	3	0	1	0	MEnschen benötigen nicht mehr zwingend einen Notfallknopf, wenn ein externes System auf sie aufpassen und imm Zweifel Hilfe alarmieren kann																					
Gesundheitstherapie	2	0.44	2	0	1	0																						
Gesundheitsüberwachung	2	0.44	2	0	1	0																						
Gewicht	1	0.22	1	NA	1	NA	"Ein Soft roboter ist auch leichter zu transportieren als ein schwerer 
"																					
Gewinnung von Arbeitsplätzen	2	0.44	2	0	1	0	Das Entwickeln und Warten von Robotern schafft Arbeitsplätze																					
gezieltere Suche	2	0.44	3	0	1.5	0.707106781186548																						
ggf hohe Kosten	2	0.44	-2	0	1	0																						
ggf. begrenzte Anpassungsmöglichkeiten	2	0.44	-0.5	0.707106781186548	1	0	geringere Adaptibilität																					
Giftige Orte	2	0.44	1	0	1	0	Orte, an denen Menschen nur mit spezieller Ausrüstung (Gasmaske) atmen können																					
Giftige Umgebung	2	0.44	2	0	1.5	0.707106781186548																						
Gleichbleibende Leistungsfähigkeit	2	0.44	3	0	4	0	Abhängig vom Material																					
Gleiche Zwischenmenschliche Qualität?	2	0.44	-3	0	2	0	Kann ein Roboter wirklich die Zwischenmenschlichen Interaktionen ersetzen?																					
Grabungsarbeiten	2	0.44	0	0	1	0																						
Grösse	2	0.44	0	0	2	0																						
Größe anpassbar	2	0.44	2	0	1	0																						
Große Chance	2	0.44	3	0	1	0																						
größerer Genauigkeit	2	0.44	2	0	1	0																						
Größerer Suchradius	2	0.44	1	0	1	0																						
größerer Wissensschatz	1	0.22	0	NA	1	NA	kann auf mehr Wissen zurückgreifen als ein Mensch																					
größeres Abhängigkeitsrisiko	1	0.22	-3	NA	1	NA																						
Grundbedürfnisse	1	0.22	3	NA	1	NA	Lieferung von lebenswichtigen Ressourcen wie Wasser und Lebensmitteln.																					
